record_id,year,title,doi,source_type,primary_use,apparatus,open_access,data_availability,mechanism_availability,inclusion_status,verification_status,notes
colman2025,2025,Rush-to-equilibrium concept for minimizing reactive nitrogen emissions in ammonia combustion,10.1016/j.combustflame.2025.114049,computational,novelty_and_reactor_context,reactor_model,pending,not_validation_data,pending,context_only,doi_verified,Strong overlap with finite-residence reactive-nitrogen framing.
dft2025,2025,A detailed kinetic mechanism for ammonia combustion informed by DFT calculations,10.1016/j.combustflame.2025.114697,mechanism,mechanism_candidate,multiple,pending,supplement_to_verify,supplement_to_verify,candidate,doi_verified,Recent mechanism candidate; exact downloadable version required.
consistency2026,2026,A novel data consistency analysis for experimental laminar burning velocities of NH3-H2 mixtures,10.1016/j.combustflame.2026.114855,benchmark,data_quality,compiled_LBV,pending,dataset_to_verify,pending,high_priority_context,doi_verified,Requires explicit handling of cross-laboratory inconsistency and reported uncertainties.
jiang2026,2026,Measurement of laminar burning velocity and OH/NO concentrations in preheated partially cracked ammonia and kinetic analysis,10.1016/j.ijhydene.2026.155113,experiment,LBV_OH_NO,heat_flux_and_UV_absorption,pending,supplement_to_verify,pending,external_validation_priority,doi_verified,Direct partially cracked NH3 evidence; likely strongest LBV/NO external-validation candidate.
joei2026,2026,Temperature dependence of the laminar burning velocity for partially cracked ammonia/air flames,10.1016/j.joei.2026.102585,experiment_and_benchmark,LBV,heat_flux_burner,pending,supplement_to_verify,pending,external_validation_priority,doi_verified,Evaluates 17 mechanisms and documents inter-study inconsistency; close novelty competitor.
energy2026,2026,Comparative analysis of combustion and emissions performance of partially cracked ammonia and NH3/H2 flames in a model gas turbine combustor,10.1016/j.energy.2026.140830,computational,novelty_and_engineering_context,swirl_combustor_and_CRN,true,accepted_manuscript,model_to_verify,context_only,doi_verified,Direct operating/emissions overlap; ensemble external validation must be the differentiator.
fuel2026bluff,2026,Investigating the emissions and flame structures of lean premixed partially cracked ammonia flames stabilized in a bluff-body burner,10.1016/j.fuel.2026.138303,experiment,NO_N2O_NH3_slip,bluff_body_burner,pending,supplement_to_verify,not_applicable,external_validation_priority,doi_verified,Direct emissions and flame-structure evidence; use only conditions compatible with canonical models.
cf2026twostage,2026,Flame structure and emissions in two-stage combustion with partially cracked ammonia,10.1016/j.combustflame.2026.115083,experiment,NOx_N2O_NH3_slip,two_stage_swirl_combustor,pending,supplement_to_verify,not_applicable,context_or_external,publisher_record,Complex flow limits direct 0D/1D validation but constrains engineering interpretation.
wang2024highp,2024,Laminar burning characteristics of ammonia and hydrogen blends at elevated initial pressures up to 2.5 MPa,10.1016/j.cej.2024.157283,experiment,LBV,constant_volume_spherical_flame,false,data_available_on_request,not_applicable,external_validation_candidate,pdf_metadata_verified,"Publisher PDF archived with SHA256 5F28FB444F84C92D2BA08008A77BBCEFE7E28D28025594E890887E914286DD89. Reported range: 0.1-2.5 MPa, phi 0.6-1.4 and H2 volume fraction 0.1-0.6. No numerical values have been inferred from figures."
mei2019mechanism,2019,Experimental and kinetic modeling investigation on the laminar flame propagation of ammonia under oxygen enrichment and elevated pressure conditions,10.1016/j.combustflame.2019.08.033,experiment_and_mechanism,LBV_and_mechanism,spherical_flame,pending,public_database_records,official_CERFACS_YAML,development_study_excluded_from_primary_LBV,artifact_verified,Official 38-species YAML archived and validated; complete study excluded from the primary external LBV gate to prevent self-validation leakage.
c3v35c0,2022,A new detailed kinetic model for surrogate fuels: C3MechV3.3,10.1016/j.jaecs.2021.100043,mechanism,mechanism_context,not_applicable,true,not_validation_data,official_CERFACS_C0_YAML,mechanism_include,institutional_record_verified,C3-v3.5_C0 is an official ammonia-only extraction related to C3-v3.5; the institutional record cites the C3MechV3.3 paper and identifies the C3 consortium.
mei2021mechanism,2021,Experimental and kinetic modeling investigation on the laminar flame propagation of ammonia/hydrogen/air mixtures at elevated pressures,10.1016/j.combustflame.2021.111472,experiment_and_mechanism,partial_cracking_LBV,spherical_flame,pending,official_experiment_workbook,official_Chemkin_release,development_study_excluded_from_primary_LBV,artifact_verified,"Official supplement contains experiment workbook, mechanism, thermo and transport. Complete study excluded from the primary external LBV gate."
otomo2018mechanism,2018,Chemical kinetic modeling of ammonia oxidation with improved reaction mechanism for ammonia/air and ammonia/hydrogen/air combustion,10.1016/j.ijhydene.2017.12.066,mechanism,classic_mechanism,multiple,pending,not_external_data,official_Chemkin_release,mechanism_include,artifact_verified,"Mechanism, thermo and transport were retained from one official ScienceDirect release."
nuig2024mechanism,2024,The combustion chemistry of ammonia and ammonia/hydrogen mixtures: A comprehensive chemical kinetic modeling study,10.1016/j.combustflame.2023.113239,mechanism,mechanism_validation,multiple,pending,development_data_not_external,official_Chemkin_release,mechanism_include,artifact_verified,"Official mechanism, thermo and transport archived; distinct from NUIGMech1.1-HT."
kaust2023mechanism,2023,Combustion chemistry of ammonia/C1 fuels: A comprehensive kinetic modeling study,10.1016/j.fuel.2023.127676,experiment_and_mechanism,IDT_species_and_mechanism,multiple,pending,development_data_not_external,official_KAUST_archive,mechanism_include_0d_jsr_only,doi_and_artifact_verified,"Complete C1 model archived. First staged LBV case exceeded 900.3 s and about 0.58 GB, so 1D exclusion is computational rather than predictive."
rmg2026mechanism,2026,Detailed kinetic model for combustion of NH3/H2 blends,10.1039/D5CP04149J,mechanism,independent_model_generation,multiple,true,official_RSC_supplement,official_Cantera_and_Chemkin,mechanism_include,doi_and_publisher_artifact_verified,Burke-linear variant is primary; standard variant is retained only as a same-study ablation. Derived species-name normalization is fully logged.
